Aspect,Esperanto,Ido,Example
"uses diacritics(ĉ, ĝ, ĥ, ĵ, ŝ, ŭ)and a digraph(dz)","uses digraphs(ch, sh, qu)","Translation of ""chamber"", ""shoe"", and ""square"":ĉambro / ŝuo / kvadrato (Esp.)chambro / shuo / quadrato (Ido)",Alphabet
masculine by default;feminine optional,gender-neutral by default;masculine and feminine optional,"Gender of ""elephant"":elefanto (default) / elefantino (fem.) (Esp.)elefanto (default) / elefantulo (masc.) / elefantino (fem.) (Ido)",Gender
formed by mal- prefix,come fromnatural vocabulary,"Translation of ""warm"" and ""cold"":varma / malvarma (Esp.)varma / kolda (Ido)",Antonyms
-i suffix,-ar suffix,"Translation of ""to go"":iri (Esp.)irar (Ido)",Infinitives
-u suffix,-ez suffix,"Translation of ""go!"":iru! (Esp.)irez! (Ido)",Imperative
-oj suffix(agglutinative),-i suffix(synthetic),"Plural of domo (""house""):domoj (Esp.)domi (Ido)",Plural noun
Agree with nouns,Not declined,"Translation of ""big dogs"":grandaj hundoj (Esp.)granda hundi (Ido)",Adjectives
Mandatory,Only when objectprecedes subject,"Translation of ""I drink milk"" / ""I milk drink"":""mi trinkas lakton"" / ""mi lakton trinkas"" (Esp.)""me drinkas lakto"" / ""me lakton drinkas"" (Ido)",Accusativeform
Sometimes rendered,Never rendered,"Translation of ""Europe"":Eŭropo (Esp.)Europa (Ido)",Propernouns
"c. 100,000–2,000,000","c. 100–1,000",,No. ofspeakers
